44,
41,100,74,100,74,103,152,105,155,100,74,100,74,103,152,105,152,103,157,103,71,103,69,105,69,239,64,99,77,98,74,100,157,103,157,98,71,103,74,100,157,103,152,103,157,103,72,102,72,103,69,238,65,103,71,103,71,103,152,103,157,103,71,103,72,103,151,102,157,101,154,105,69,101,74,102,72,233,67,101,74,100,74,98,157,100,155,105,69,105,69,103,157,100,155,105,152,103,74,100,74,101,70,
133,
62,103,71,103,74,100,157,103,152,103,71,103,74,101,157,102,152,103,157,103,71,103,72,102,69,238,64,103,72,103,71,103,157,103,152,107,67,103,71,103,157,103,152,105,154,101,74,100,74,103,71,239,62,105,69,105,69,103,157,100,155,100,74,105,69,102,157,101,154,105,152,103,74,100,74,100,74,239,64,103,69,105,69,106,153,102,157,103,72,103,70,105,152,103,157,102,152,103,72,103,71,103,74,
133,
66,100,74,100,69,103,157,100,155,105,74,100,69,103,157,101,159,100,157,103,69,105,69,105,69,239,65,102,74,101,69,105,159,96,157,102,72,103,69,105,152,103,157,102,152,103,72,103,76,98,74,239,59,103,76,98,72,103,157,103,152,103,76,98,76,98,157,103,152,103,157,100,74,103,71,103,72,
197,
65,103,69,105,69,105,155,100,157,103,71,103,74,100,157,98,157,103,152,103,72,102,72,103,74,238,70,98,71,103,76,98,157,103,152,103,76,102,72,98,157,103,157,98,157,105,69,103,71,103,72,238,62,105,69,103,72,102,157,103,154,105,69,105,69,103,157,100,154,101,157,102,74,101,74,100,74,
14,
63,105,69,101,74,102,152,105,155,100,74,101,74,103,152,105,155,100,157,103,74,100,74,101,69,243,60,102,74,101,74,100,157,98,157,103,71,103,74,101,151,103,157,103,157,98,77,98,76,98,74,238,65,103,71,98,76,103,152,103,157,103,71,98,77,98,157,103,153,103,157,101,74,103,74,103,71,
147,
63,102,72,103,71,103,152,103,157,103,71,103,72,103,152,103,157,101,154,105,69,106,70,102,72,238,62,105,74,100,74,98,157,100,160,100,74,100,74,98,157,101,154,105,152,103,74,100,74,101,74,238,60,103,74,100,74,100,155,105,152,103,71,103,74,100,157,103,152,102,157,103,72,103,71,98,74,239,64,103,71,103,71,102,152,103,157,103,72,102,72,103,152,103,157,103,152,105,74,98,71,103,71,
15,
67,100,74,101,73,102,152,106,155,100,74,101,74,103,151,106,154,100,157,103,72,102,69,105,70,233,64,102,72,103,74,100,157,98,157,103,71,103,69,105,152,103,157,103,152,103,71,103,71,103,74,234,64,102,72,103,71,103,157,98,157,103,71,103,71,103,152,103,157,100,155,105,69,105,74,98,76,
43,
68,95,74,105,69,101,159,100,157,98,74,101,74,100,159,101,157,98,157,103,72,103,69,105,69,238,65,103,71,98,74,100,157,103,157,98,77,98,74,100,157,103,152,103,157,100,74,103,71,102,72,231,65,105,69,103,76,98,157,103,152,105,74,98,71,103,157,103,152,105,155,100,74,100,74,103,72,
96,
62,102,77,98,74,100,157,103,152,103,71,103,74,100,157,103,152,103,157,103,74,98,72,107,72,236,59,108,69,102,72,103,157,103,152,105,69,103,71,103,157,98,157,100,155,105,69,105,74,98,72,238,67,100,74,101,74,103,152,105,154,100,74,101,74,103,157,100,157,98,156,102,72,103,69,105,74,238,65,103,71,98,74,100,157,103,157,98,76,98,74,101,156,102,152,103,157,103,71,102,72,103,69,
